record_id,title,authors,year,scope,type,url,access_mode,copyright_status,download_allowed,notes
the_classic_cattleyas,The Classic Cattleyas,A. A. Chadwick; Arthur E. Chadwick,2006/2021,Cattleya,book,https://openlibrary.org/books/OL3411565M/The_classic_cattleyas,loan_or_purchase,copyrighted,No,No redistribuir
orchid_growers_manual_1877,The Orchid-grower's Manual,,1877,Orchidaceae; Cattleya,book,https://www.biodiversitylibrary.org/page/15082801,download,public domain/item-specific,Yes,Manual histórico
orchid_album_1885,Orchid Album,,1885,Orchidaceae,serial/book,https://biodiversitylibrary.org/page/35715522,download,public domain/item-specific,Yes,Láminas y descripciones
orchid_review_v11,The Orchid Review volume 11,,1903,Orchidaceae; Cattleya,journal,https://www.biodiversitylibrary.org/page/40302163,download,public domain/item-specific,Yes,Revista histórica
orchid_sale_1901,1901 April Orchid Sale Catalogue,,1901,Orchidaceae; Cattleya,catalogue,https://www.biodiversitylibrary.org/page/46478643,download,public domain/item-specific,Yes,Catálogo comercial histórico
orchids_rhs_archives,Orchids From the Archives of the Royal Horticultural Society,Mark Griffiths,2005,Orchidaceae,book,https://archive.org/details/orchidsfromarchi0000grif,controlled_loan,copyrighted,No,Préstamo controlado
